,human_baseline_summaries,original_model_summaries,peft_model_summaries
11,#Person1# has a dance with Brian at Brian's birthday party. Brian thinks #Person1# looks great and is popular.,"#Person1#: Happy birthday, Brian. #Person2#: I'm so happy you're having a good time. #Person1#: Thank you, I'm sure you're having a good time. #Person2#: Thank you, I'm sure you're having a good time. #Person1#: Thank you, I'm sure you're having a good time. #Person2#: Thank you, I'm sure you're having a good time. #Person1#: Thank you, I'm sure you're having a good time.",Brian remembers his birthday and invites #Person1# to the party. Brian is popular with everyone and looks pretty today. #Person1# asks Brian to dance with him and they will have a drink together.
12,"#Person1# is surprised at the Olympic Stadium'volume, capacity and interior setting to #Person1#.",The Olympic park is a huge stadium.,"#Person1# and #Person2# are in the Olympic stadium, the center of the park. They are surprised to find 5000 seats in the stand and the jumping pit is over there."
13,#Person2# shows #Person1# around the constructing Olympic stadium and introduces the stadium.,The Olympic park is a huge stadium.,"#Person1# and #Person2# are in the Olympic stadium, the center of the park. They are surprised to find 5000 seats in the stand and the jumping pit is over there."
14,"#Person2# introduces the Olympic Stadium's finishing time, capacity and interior setting to #Person1#.",The Olympic park is a huge stadium.,"#Person1# and #Person2# are in the Olympic stadium, the center of the park. They are surprised to find 5000 seats in the stand and the jumping pit is over there."
15,"#Person1# wants to create a company and is going to write a business plan. #Person2# gives #Person1# suggestions on how to summarise business ideas, describe the service, differ from competitors and attract investment in a good business plan. #Person1# decides to stick to the old job.","#Person1#: I am done working for a company that is taking me nowhere! #Person2#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write",#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will create a company and write up a business plan. #Person1# will write up a business plan and get some investors and start working for #Person1#.
16,"#Person1# abandons the idea of creating a company after #Person2# explains what a business plan includes. #Person2# specifies that a well-written business plan includes an executive summary, goods and service description, strategy and implementation, and financial analysis.","#Person1#: I am done working for a company that is taking me nowhere! #Person2#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write",#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will create a company and write up a business plan. #Person1# will write up a business plan and get some investors and start working for #Person1#.
17,"#Person1# wants to start #Person1#'s own business, but #Person2# warns #Person1# of the hassle. #Person2# tells #Person1# what is needed in a business plan and #Person1# decides to stick to the old job for now.","#Person1#: I am done working for a company that is taking me nowhere! #Person2#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write",#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will create a company and write up a business plan. #Person1# will write up a business plan and get some investors and start working for #Person1#.
18,#Person2# feels itchy. #Person1# doubts it is chicken pox and asks #Person2# to get away. #Person2# doesn't believe it.,#Person1#: I'm scratching so much. I can't stand it anymore. #Person2#: I think I have chicken pox. I'm contagious. #Person1#: I'm a biohazard.,#Person2# feels itchy and weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# will take an oatmeal bath.
19,#Person1# suspects that #Person2# has chicken pox and wants to keep away from #Person2#. #Person2# thinks #Person1# is exaggerating.,#Person1#: I'm scratching so much. I can't stand it anymore. #Person2#: I think I have chicken pox. I'm contagious. #Person1#: I'm a biohazard.,#Person2# feels itchy and weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# will take an oatmeal bath.
20,#Person1# thinks #Person2# has chicken pox and warns #Person2# about the possible hazards but #Person2# thinks it will be fine.,#Person1#: I'm scratching so much. I can't stand it anymore. #Person2#: I think I have chicken pox. I'm contagious. #Person1#: I'm a biohazard.,#Person2# feels itchy and weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# will take an oatmeal bath.
21,#Person2# is checking out and asks #Person1# for the bill. #Person1# gives #Person2# a wrong bill at first then corrects it.,#Person1#: Good morning. I'm checking out today. I'm in Room 309. I'm checking out today. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I',#Person2# is checking out today and asks #Person1# to correct the bill. #Person1# will correct the bill.
22,#Person1# helps #Person2# correct a mischarged bill on laundry service and helps #Person2# check out.,#Person1#: Good morning. I'm checking out today. I'm in Room 309. I'm checking out today. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I',#Person2# is checking out today and asks #Person1# to correct the bill. #Person1# will correct the bill.
23,#Person2# finds #Person2# being mischarged. #Person1# corrects the bill and #Person2# pays for it.,#Person1#: Good morning. I'm checking out today. I'm in Room 309. I'm checking out today. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I'm checking out today. I'm in Room 309. I',#Person2# is checking out today and asks #Person1# to correct the bill. #Person1# will correct the bill.
24,#Person1# is begging Steven to persuade his wife not to divorce him. Steven agrees.,#Person1#: I need your help.,Steven has an affair with his secretary and is going to divorce his wife. Steven will try his best to persuade his wife to reconsider the divorce.
25,Steve will try to persuade #Person1#'s wife not to divorce #Person1# as #Person1# swears to remain faithful forever.,#Person1#: I need your help.,Steven has an affair with his secretary and is going to divorce his wife. Steven will try his best to persuade his wife to reconsider the divorce.
26,"#Person1# begs Steven's to persuade #Person1#'s wife not to divorce him, and Steven agrees.",#Person1#: I need your help.,Steven has an affair with his secretary and is going to divorce his wife. Steven will try his best to persuade his wife to reconsider the divorce.
27,#Person1# and #Person2# are talking about Abraham Lincoln. They think he was a noble man.,I think Abraham Lincoln is a great man or woman of sound character.,#Person2# thinks Abraham Lincoln is a man or woman of sound character. #Person1# thinks Abraham Lincoln was the US president who walked five miles just to give a lady her change. #Person2# admires Abraham Lincoln for his courage in fighting for equal rights.
28,"#Person2# admires Abraham Lincoln for his perseverance, courage and humility.",I think Abraham Lincoln is a great man or woman of sound character.,#Person2# thinks Abraham Lincoln is a man or woman of sound character. #Person1# thinks Abraham Lincoln was the US president who walked five miles just to give a lady her change. #Person2# admires Abraham Lincoln for his courage in fighting for equal rights.
29,#Person1# and #Person2# talk about Abraham Lincoln and his glorious history. They both admire him.,I think Abraham Lincoln is a great man or woman of sound character.,#Person2# thinks Abraham Lincoln is a man or woman of sound character. #Person1# thinks Abraham Lincoln was the US president who walked five miles just to give a lady her change. #Person2# admires Abraham Lincoln for his courage in fighting for equal rights.
30,#Person2# plans to have a trip in Hebei but #Person1# says there are sandstorms in there.,The sandstorms in China are causing a lot of health problems for people in the north of China.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# the north of China is experiencing severe sandstorms. #Person2# thinks sandstorms are trouble for everybody.
31,#Person1# tells #Person2# Hebei was experiencing severe sandstorms and sandstorms threaten people's health.,The sandstorms in China are causing a lot of health problems for people in the north of China.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# the north of China is experiencing severe sandstorms. #Person2# thinks sandstorms are trouble for everybody.
32,#Person2# wants to travel to Hebei but #Person1# informs #Person2# of terrible sandstorms there.,The sandstorms in China are causing a lot of health problems for people in the north of China.,#Person2# is going to Hebei for a trip. #Person1# tells #Person2# the north of China is experiencing severe sandstorms. #Person2# thinks sandstorms are trouble for everybody.
33,#Person2# comes to the birthday party of Francis and sends him a remote car model.,The gift is a remote car model and a brand new remote car model.,Francis is happy to see #Person1#'s birthday party. #Person2# gives Francis a remote car model and #Person1# likes it so much. Francis appreciates the gift and appreciates the gift.
34,#Person2# gives Francis a car model that both of them love as a birthday gift.,The gift is a remote car model and a brand new remote car model.,Francis is happy to see #Person1#'s birthday party. #Person2# gives Francis a remote car model and #Person1# likes it so much. Francis appreciates the gift and appreciates the gift.
35,#Person2# gives Francis a nice car model as a birthday gift and Francis appreciates it.,The gift is a remote car model and a brand new remote car model.,Francis is happy to see #Person1#'s birthday party. #Person2# gives Francis a remote car model and #Person1# likes it so much. Francis appreciates the gift and appreciates the gift.
36,Tony got caught cheating and feels ashamed. Steven tells him to learn from it and study hard.,"#Person1#: Hi, Steven.",Steven tells Tony he got caught cheating and feels ashamed. Tony tells Steven he should study hard and learn from his mistakes.
37,Tony tells Steven that he failed a class because of cheating and he feels awful.,"#Person1#: Hi, Steven.",Steven tells Tony he got caught cheating and feels ashamed. Tony tells Steven he should study hard and learn from his mistakes.
38,Tony tells Steven that he cheated on the exam and realized his mistake.,"#Person1#: Hi, Steven.",Steven tells Tony he got caught cheating and feels ashamed. Tony tells Steven he should study hard and learn from his mistakes.
39,#Person1# is catching a train. Tom asks #Person1# not to hurry.,The train is about to leave.,Tom is late to catch the nine-thirty train. #Person2# tells Tom he has plenty of time.
40,#Person1# is in a hurry to catch a train. Tom tells #Person1# there is plenty of time.,The train is about to leave.,Tom is late to catch the nine-thirty train. #Person2# tells Tom he has plenty of time.
41,#Person1# is rushing to catch a train but Tom thinks it isn't necessary.,The train is about to leave.,Tom is late to catch the nine-thirty train. #Person2# tells Tom he has plenty of time.
42,#Person1# wants to adjust #Person1#'s life and #Person2# suggests #Person1# be positive and stay healthy.,#Person1#: I'm not sure how to adjust my life.,#Person1# can't sleep well every night and drink a lot of wine. #Person2# advises #Person1# to get plenty of sleep and do some exercise every morning. #Person1# worries about #Person1#'s future because #Person1# is young and will make great contribution to the world.
43,#Person1# has a bad lifestyle. #Person2# kindly advises #Person1# to be positive.,#Person1#: I'm not sure how to adjust my life.,#Person1# can't sleep well every night and drink a lot of wine. #Person2# advises #Person1# to get plenty of sleep and do some exercise every morning. #Person1# worries about #Person1#'s future because #Person1# is young and will make great contribution to the world.
44,#Person2# hopes #Person1# will become healthy and positive.,#Person1#: I'm not sure how to adjust my life.,#Person1# can't sleep well every night and drink a lot of wine. #Person2# advises #Person1# to get plenty of sleep and do some exercise every morning. #Person1# worries about #Person1#'s future because #Person1# is young and will make great contribution to the world.
45,#Person1# tells #Person2# that Ruojia is married and will have a party tonight. #Person2#'s surprised to know that. They will bring their gifts to bless her.,Ruojia got married yesterday.,#Person1# invites #Person2# to Ruojia's party tonight but #Person2# doesn't receive the email. #Person1# suggests #Person2# check #Person2#'s email and invites #Person2# to the party.
46,#Person2# is surprised to know from #Person1# that Ruojia is married. Then #Person2# finds Ruojia has sent an email about it. They will go to Ruojia's party and give their presents to her.,Ruojia got married yesterday.,#Person1# invites #Person2# to Ruojia's party tonight but #Person2# doesn't receive the email. #Person1# suggests #Person2# check #Person2#'s email and invites #Person2# to the party.
47,#Person2# is surprised that Ruojia's married. #Person1# and #Person2# will go to her party and give their presents to wish her a happy marriage.,Ruojia got married yesterday.,#Person1# invites #Person2# to Ruojia's party tonight but #Person2# doesn't receive the email. #Person1# suggests #Person2# check #Person2#'s email and invites #Person2# to the party.
48,#Person2# at first thinks #Person1#'s behaviour cruel but finally joins #Person1#.,#Person1#: Okay.,#Person1# tells #Person2# to pull on the strip and peel off the back of the enemies. #Person2# thinks it's cruel and asks #Person1# to hand it over.
49,#Person1# plans on playing a trick to others. #Person2# thinks it's cruel at first but then joins.,#Person1#: Okay.,#Person1# tells #Person2# to pull on the strip and peel off the back of the enemies. #Person2# thinks it's cruel and asks #Person1# to hand it over.
50,#Person1# is about to make a prank. #Person2# thinks it's cruel at first but then joins.,#Person1#: Okay.,#Person1# tells #Person2# to pull on the strip and peel off the back of the enemies. #Person2# thinks it's cruel and asks #Person1# to hand it over.
51,Mike is describing his sister to #Person1#.,Mike's sister is tall and pretty.,Mike tells #Person1# his sister is tall and pretty. Mike thinks she's not as clever as his sister.
52,Mike describes to #Person1# his sister's characters and personality.,Mike's sister is tall and pretty.,Mike tells #Person1# his sister is tall and pretty. Mike thinks she's not as clever as his sister.
53,#Person1# asks Mike about his sister.,Mike's sister is tall and pretty.,Mike tells #Person1# his sister is tall and pretty. Mike thinks she's not as clever as his sister.
54,#Person1# feels sick and #Person2# gives #Person1# a check-up.,#Person1#: I have a headache. #Person2#: I think you have a small fever.,#Person1# has a headache and #Person2# tells #Person1# to call in sick.
55,#Person2# finds that #Person1# has a fever and says #Person1# should've called in sick earlier.,#Person1#: I have a headache. #Person2#: I think you have a small fever.,#Person1# has a headache and #Person2# tells #Person1# to call in sick.
56,#Person2# checks #Person1#'s physical condition and finds #Person1# has a fever.,#Person1#: I have a headache. #Person2#: I think you have a small fever.,#Person1# has a headache and #Person2# tells #Person1# to call in sick.
57,#Person1# helps #Person2# to choose a new phone.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# recommends a phone with camera and MP3 player.
58,#Person2# wants to buy a new mobile phone from #Person1#.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# recommends a phone with camera and MP3 player.
59,#Person2# wants to buy a new mobile phone from #Person1#.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone with camera and MP3 player. #Person1# recommends a phone with camera and MP3 player.
60,Frank got a new job and is telling Judy not only the heavy schedule but also the benefits of this job.,Judy has a new job.,Frank tells Judy he got a new job because he has a heavy work schedule and he has a strong health insurance. Judy thinks it's a great employment benefit. Frank tells Judy he wants to work for the Post Office.
61,Frank explains to Judy the reason why he took a job at the Post office is that the government offers excellent health insurance benefits for its employees.,Judy has a new job.,Frank tells Judy he got a new job because he has a heavy work schedule and he has a strong health insurance. Judy thinks it's a great employment benefit. Frank tells Judy he wants to work for the Post Office.
62,Frank describes his new job's schedule and insurance at the Post Office to Judy.,Judy has a new job.,Frank tells Judy he got a new job because he has a heavy work schedule and he has a strong health insurance. Judy thinks it's a great employment benefit. Frank tells Judy he wants to work for the Post Office.
63,#Person2# is describing the educational background and previous working experience to #Person1# in a job interview.,#Person1#: I'm a secretary. #Person2#: I'm a doctor. #Person1#: I'm a secretary. #Person2#: I'm a secretary.,"#Person2# tells #Person1# #Person2# has a doctor license and a driving license, a doctor license, and a driving license. #Person2# passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English, and studied for a year in London at the Lucas Secretarial College. #Person2# has special training in typing, shorthand, and operating a fax machine, and #Person2# is experienced in IBM-PC."
64,#Person2# is being interviewed by #Person1#. #Person2# is equipped with a bunch of valuable office skills.,#Person1#: I'm a secretary. #Person2#: I'm a doctor. #Person1#: I'm a secretary. #Person2#: I'm a secretary.,"#Person2# tells #Person1# #Person2# has a doctor license and a driving license, a doctor license, and a driving license. #Person2# passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English, and studied for a year in London at the Lucas Secretarial College. #Person2# has special training in typing, shorthand, and operating a fax machine, and #Person2# is experienced in IBM-PC."
65,"#Person1# asks about #Person2#'s special skills, training, previous working experience and other qualification for the job.",#Person1#: I'm a secretary. #Person2#: I'm a doctor. #Person1#: I'm a secretary. #Person2#: I'm a secretary.,"#Person2# tells #Person1# #Person2# has a doctor license and a driving license, a doctor license, and a driving license. #Person2# passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English, and studied for a year in London at the Lucas Secretarial College. #Person2# has special training in typing, shorthand, and operating a fax machine, and #Person2# is experienced in IBM-PC."
66,#Person1# is not satisfied with the steak and #Person2# will change it.,"#Person1#: I'm sorry, but I'm not sure what you ordered.",#Person1# asks #Person2# to change the steak because it's too well done and tough. #Person2# will bring another steak if it's not to #Person1#'s satisfaction.
67,#Person2# will change a steak for #Person1# as that one doesn't satisfy #Person1#.,"#Person1#: I'm sorry, but I'm not sure what you ordered.",#Person1# asks #Person2# to change the steak because it's too well done and tough. #Person2# will bring another steak if it's not to #Person1#'s satisfaction.
68,"#Person1# is not satisfied with #Person1#'s steak and asks to change one, and #Person2# agrees.","#Person1#: I'm sorry, but I'm not sure what you ordered.",#Person1# asks #Person2# to change the steak because it's too well done and tough. #Person2# will bring another steak if it's not to #Person1#'s satisfaction.
69,#Person1# congratulates Tom for achieving the Nobel Prize.,Tom's novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize. #Person1# is proud of Tom. They celebrate.
70,#Person1# tells Tom that his novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize. #Person1# is proud of Tom. They celebrate.
71,#Person2# tells Tom he won the Nobel Prize.,Tom's novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize. #Person1# is proud of Tom. They celebrate.
72,#Person1# is interviewing #Person2# about #Person2#'s ability and previous experience.,Obtain a job in the automotive industry.,#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s past employment was responsible for understanding of the mechanical strength and corrosion resistance of various materials.
73,#Person1# asks #Person2# about #Person2#'s capacities and past working experience during an interview.,Obtain a job in the automotive industry.,#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s past employment was responsible for understanding of the mechanical strength and corrosion resistance of various materials.
74,#Person1# asks #Person2# about #Person2#'s qualification for the job.,Obtain a job in the automotive industry.,#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s past employment was responsible for understanding of the mechanical strength and corrosion resistance of various materials.
75,"#Person1# and #Person2# are talking about some personal facts of drinking. #Person2# drinks a lot, while #Person1# cannot drink much for health reasons. They decide to have a drink together tomorrow night.","No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. ",#Person1# and #Person2# talk about how often they drink and how much they can drink. #Person1# usually drinks at least 10 drinks and #Person2# recommends Dante's over on the Ave and mixed drinks. They will go out tomorrow night.
76,"#Person2#, a heavy drinker, invites #Person1#, a light drinker to go out the next day. #Person2# chooses a place that has a special on pitchers.","No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. ",#Person1# and #Person2# talk about how often they drink and how much they can drink. #Person1# usually drinks at least 10 drinks and #Person2# recommends Dante's over on the Ave and mixed drinks. They will go out tomorrow night.
77,#Person1# and #Person2# talk about their drinking capacity and their drinking habits. They decide to have a drink together tomorrow night.,"No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. No, I don't drink much. ",#Person1# and #Person2# talk about how often they drink and how much they can drink. #Person1# usually drinks at least 10 drinks and #Person2# recommends Dante's over on the Ave and mixed drinks. They will go out tomorrow night.
78,May is helping her mother to do some preparation for the picnic.,The weather report says it will be sunny all day.,"May helps #Person1# prepare for the picnic. #Person1# asks her to help prepare the food, take the fruit salad, crackers, napkins, disposable plates, cups, and picnic blanket. May refuses because Daniel can't help."
79,May's mother asks May for help in preparing for a picnic. May gives her a hand.,The weather report says it will be sunny all day.,"May helps #Person1# prepare for the picnic. #Person1# asks her to help prepare the food, take the fruit salad, crackers, napkins, disposable plates, cups, and picnic blanket. May refuses because Daniel can't help."
80,Mom asks May to help to prepare for the picnic and May agrees.,The weather report says it will be sunny all day.,"May helps #Person1# prepare for the picnic. #Person1# asks her to help prepare the food, take the fruit salad, crackers, napkins, disposable plates, cups, and picnic blanket. May refuses because Daniel can't help."
81,Muriel Douglas and James meet each other and talk about what they have done during the holiday.,"#Person1#: Hello, Muriel Douglas.",Muriel Douglas and James are meeting about the new account. Muriel Douglas and James have a nice holiday and they both enjoyed skiing in Tahoe. Muriel Douglas and James are going back to Hawaii.
82,"James and Muriel are talking while waiting for Susan, Muriel's associate. They talk about how they spent the holiday with their families.","#Person1#: Hello, Muriel Douglas.",Muriel Douglas and James are meeting about the new account. Muriel Douglas and James have a nice holiday and they both enjoyed skiing in Tahoe. Muriel Douglas and James are going back to Hawaii.
83,"Muriel Douglas and James send greetings and talk about their holiday before the meeting. Douglas stayed in L.A., while James went to Tahoe.","#Person1#: Hello, Muriel Douglas.",Muriel Douglas and James are meeting about the new account. Muriel Douglas and James have a nice holiday and they both enjoyed skiing in Tahoe. Muriel Douglas and James are going back to Hawaii.
84,"#Person1# wants to withdraw money from an ATM, but the ATM automatically transfers 10000 USD to the World Wildlife Foundation after confirming the withdrawal option. #Person1# gets mad and somehow locked in.",#Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#,#Person1# is using Universal Bank to withdraw money from the ATM. #Person2# tells #Person1# to insert the card into the slot and then remove the card from the slot. #Person1# is angry and tells #Person2# the exits have been sealed and the doors will remain locked in until the local authorities arrive.
85,"#Person1# run out of money because of a girl, and is withdrawing money from an ATM. But the ATM seems to go wrong and transfers #Person1#'s money to the World Wildlife Foundation, driving #Person1# crazy.",#Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#,#Person1# is using Universal Bank to withdraw money from the ATM. #Person2# tells #Person1# to insert the card into the slot and then remove the card from the slot. #Person1# is angry and tells #Person2# the exits have been sealed and the doors will remain locked in until the local authorities arrive.
